Course Number,Course Title,Credits,Description,Offered Term,Liberal Arts Requirements,Tags,Prerequisites,Faculty,Meeting Day,Location,Time,Unnamed: 12
POSC 302,Subordinated Politics and Intergroup Relations,6 credits,"How do social and political groups interact? How do we understand these interactions in relation to power? This course will introduce the basic approaches and debates in the study of prejudice, racial attitudes, and intergroup relations. We will focus on three main questions. First, how do we understand and study prejudice and racism as they relate to U.S. politics? Second, how do group identities, stereotyping, and other factors help us understand the legitimation of discrimination, group hierarchy, and social domination? Third, what are the political and social challenges associated with reducing prejudice?",Spring 2025,"IDS, Intercultural Domestic Studies, SI, Social Inquiry","AFST Social Inquiry, AMST Democracy Activism, AMST Race Ethnicty Indign, AMST Space and Place, EDUC 2 Soc and Cult Context, POSI Elective, CL: 300 level",,Christina Farhart,"T, TH",Hasenstab 109,1:15pm-3:00pm,
POSC 315,Polarization and Democratic Decline in the United States,6 credits,"The United States is more politically polarized today than at any time since the late nineteenth century, leaving lawmakers, journalists, and experts increasingly concerned that the toxicity in our politics is making the country vulnerable to political instability, violence, and democratic decline. Moreover, citizens are increasingly willing to call into question the legitimacy of this country’s core electoral and governing institutions. How did the U.S. get to this point? What can be done about it? This course will examine political polarization as a central feature of American politics and the consequences for American democracy.",Spring 2025,"IDS, Intercultural Domestic Studies, QRE, Quantitative Reasoning, SI, Social Inquiry","ACE Applied, AMST Democracy Activism, AMST Race Ethnicty Indign, AMST Space and Place, POSI Elective, CL: 300 level",,Ryan Dawkins,"M, W",Hasenstab 109,11:10am-12:20pm,
POSC 322,Polarization and Populism in Latin America,6 credits,"Polarization and populism have shaped Latin American politics and development for much of the region's history. These forces have re-emerged in the post-Cold War period in acute and powerful ways in threatening democracy and systems of accountability. This course will examine these forces and adjacent phenomena such as democratic backsliding, the aggrandizement of presidential powers, socio-economic conflicts, contentious politics, and the continuation of state crises in Latin America. Students will work on their own research projects.",Spring 2025,"IS, International Studies, QRE, Quantitative Reasoning, SI, Social Inquiry, WR2 Writing Requirement 2","LTAM 300 HIST/SOAN/POSC, POSI Elective, LTAM Electives, CL: 300 level",,Alfred Montero,"M, W",Hasenstab 002,12:30pm-3:00pm,
POSC 333,Global Social Changes and Sustainability,6 credits,"This course is about the relationship between social changes and ecological changes to understand and to be able to advance analytical concepts, research methods, and theories of society-nature interactions. How do livelihoods of individuals and groups change over time and how do the changes affect ecological sustainability? What are the roles of human institutions in ecological sustainability? What are the roles of ecosystem dynamics in institutional sustainability? Students will learn fundamental theories and concepts that explain linkages between social change and environmental changes and gain methods and skills to measure social changes qualitatively and quantitatively.Extra Time required.",Spring 2025,"IS, International Studies, QRE, Quantitative Reasoning, SI, Social Inquiry, WR2 Writing Requirement 2","ENTS Society, Culture and Policy, ENTS Topical Seminar, POSI Elective, PPOL Envir Pol & Sustainablty, CL: 300 level",,Tun Myint,"T, TH",CMC 328,10:10am-11:55am,
POSC 348,"Strangers, Foreigners and Exiles",6 credits,"The course explores the role that strangers play in human life, the challenges that foreigners create for democratic politics, the promises they bring to it, as well as the role of exiles in improving the cultural capacity of societies to live with difference. We will read texts by Arendt, Kafka, Derrida, Sophocles, Said, Joseph Conrad, Tzvetan Todorov, and Julia Kristeva. Special attention will be given to the plight of Roma in Europe, as a typical case of strangers that are still perceived nowadays as a menace to the modern sedentary civilization.",Spring 2025,"IS, International Studies, SI, Social Inquiry","CCST Encounters, FFST Social Science, FREN Pertinent, POSI Elective, CL: 300 level",,Mihaela Czobor-Lupp,"T, TH",Weitz Center 231,10:10am-11:55am,
PSYC 110,Principles of Psychology,6 credits,"This course surveys major topics in psychology. We consider the approaches different psychologists take to describe and explain behavior. We will consider a broad range of topics, including how animals learn and remember contexts and behaviors, how personality develops and influences functioning, how the nervous system is structured and how it supports mental events, how knowledge of the nervous system may inform an understanding of conditions such as schizophrenia, how people acquire, remember and process information, how psychopathology is diagnosed, explained, and treated, how infants and children develop, and how people behave in groups and think about their social environment.",Spring 2025,"SI, Social Inquiry","PSYC Introductory, CL: 100 level",,Julie Neiworth,"M, W",Anderson Hall 121,12:30pm-1:40pm,
PSYC 200,Measurement and Data Analysis in Psychology,6 credits,"The course considers the role of measurement and data analysis focused on behavioral sciences. Various forms of measurement and standards for the evaluation of measures are explored. Students learn how to summarize, organize, and evaluate data using a variety of techniques that are applicable to research in psychology and other disciplines. Among the analyses discussed and applied are tests of means, various forms of analysis of variance, correlation and regression, planned and post-hoc comparisons, as well as various non-parametric tests. Research design is also explored.",Spring 2025,"FSR, Formal or Statistical Reasoning, QRE, Quantitative Reasoning","CGSC Core, PSYC Methods, SDSC XDept Elective, CL: 200 level",Student has completed any of the following course(s):PSYC 110– Principles of Psychology with a grade of C- OR CGSC/PSYC 232– Cognitive Processes and CGSC/PSYC 233– Laboratory Cognitive Processes with a grade of C- or better or received a score of 4 or better on the Psychology AP exam or received a score of 6 or better on the Psychology IB exam.,Mitchell Campbell,"T, TH",Anderson Hall 121,10:10am-11:55am,
PSYC 201,Measurement and Data Analysis Lab,2 credits,"This lab course accompanies the lecture course, Psychology 200, and must be taken during the same term. The lab will provide an opportunity to explore lecture topics more deeply, and in particular emphasize data collection and computational skills.PSYC 200 required.",Spring 2025,"QRE, Quantitative Reasoning","CGSC Core, PSYC Methods",,Mitchell Campbell,"T, TH",Olin 104,1:15pm-3:00pm,
PSYC 216,Behavioral Neuroscience,6 credits,"An introduction to the physiological bases of complex behaviors in mammals, with an emphasis on neural and hormonal mechanisms. Psychology 216 does not require concurrent registration in Psychology 217, however, a grade of C- or better must be earned in both Psychology 216 and 217 to satisfy the LS requirement. Expected preparation: Psychology 110 or instructor permission.",Spring 2025,"LS, Science with Lab","CGSC Elective, NEUR Elective, PSYC Biolgcl & Behavrl Proc, PSYC Core, CL: 200 level",,Lawrence Wichlinski,"M, W",Boliou 104,11:10am-12:20pm,
PSYC 217,Laboratory Research Methods in Behavioral Neuroscience,2 credits,"The course provides instruction and experience in methods of behavioral neuroscience, the study of the inter-relation of the brain (and hormonal systems) and behavior. The focus of this laboratory will be on standard methods of inducing behavioral changes via neural and hormonal manipulations in mammals. Psychology 217 does NOT require concurrent registration in Psychology 216. A grade of C- or better must be earned in both Psychology 216 and 217 to satisfy the LS requirement. Expected preparation: Psychology 110 or instructor permission.",Spring 2025,"LS, Science with Lab","NEUR Elective, PSYC Laboratory",,Lawrence Wichlinski,"M, W",Hulings B12,2:00pm-4:00pm,
PSYC 220,Sensation and Perception,6 credits,"We will address the question of how humans acquire information from the world to support action, learning, belief, choice, and the host of additional mental states that comprise the subject matter of psychology. In other words “How do we get the outside inside?” We will initially consider peripheral anatomical structures (e.g., the eye) and proceed through intermediate levels of sensory coding and transmission to cover the brain regions associated with each of the major senses. Readings will include primary sources and a text. In addition to exams and papers, students will conduct an investigation into an area of personal interest. A grade of C- or better must be earned in both Psychology 220 and 221 to satisfy the LS requirement.",Spring 2025,"LS, Science with Lab","CGSC Elective, NEUR Elective, PSYC Biolgcl & Behavrl Proc, PSYC Cognitive Studies, PSYC Core, CL: 200 level",Student has completed any of the following course(s):PSYC 110– Principles of Psychology with a grade of C- or better or received a score of 4 or better on the Psychology AP exam or received a score of 6 or better on the Psychology IB exam.,Julia Strand,"M, W",Olin 141,9:50am-11:00am,
PSYC 256,Social Behavior and Interpersonal Processes,6 credits,"The social psychological analysis of human social behavior, interpersonal processes, and group influences. Concurrent registration in PSYC 257 is optional, but strongly encouraged. A grade of C- or better must be earned in both Psychology 256 and 257 to satisfy the LS requirement.Concurrent registration in Psychology 257 is optional, but strongly recommended.",Spring 2025,"LS, Science with Lab","PSYC Core, PSYC Soc,Dev,Pers,Clin & Health, CL: 200 level",Student has completed any of the following course(s):PSYC 110– Principles of Psychology with a grade of C- or better or received a score of 4 or better on the Psychology AP exam or received a score of 6 or better on the Psychology IB exam.,Sharon Akimoto,"T, TH",Weitz Center 235,10:10am-11:55am,
PSYC 257,Laboratory Research Methods in Social Behavior and Interpersonal Processes,2 credits,Students will participate in the planning and replication of empirical studies of the social psychology of social behavior. Requires concurrent registration in Psychology 256. A grade of C- or better must be earned in both Psychology 256 and 257 to satisfy the LS requirement.PSYC 256 required.,Spring 2025,"LS, Science with Lab, QRE, Quantitative Reasoning",PSYC Laboratory,,Sharon Akimoto,W,Olin 06,2:00pm-5:00pm,
PSYC 354,Counseling Psychology,6 credits,"This course provides an introduction to the field of counseling psychology, exploring its fundamental principles and practices. Students will gain a comprehensive understanding of various counseling theories and treatment modalities, including their historical development and practical application. Students will also explore research methodologies utilized in counseling psychology and critically analyze empirical studies to inform evidence-based practice. Additionally, the course addresses professional issues, ethical considerations, and multicultural factors that influence counseling psychology, fostering cultural competence and awareness of diverse populations.",Spring 2025,"SI, Social Inquiry","PSYC Upper Level, CL: 300 level",Student has completed any of the following course(s):PSYC 110– Principles of Psychology with a grade of C- or better or received a score of 4 or better on the Psychology AP exam or received a score of 6 or better on the Psychology IB exam.,Emily Hazlett,"T, TH",Olin 102,1:15pm-3:00pm,
PSYC 382,Topics in Social and Personality: Endings,6 credits,"This seminar will examine the psychology of endings, including endings associated with psychotherapy, social interactions, personal relationships, social roles, literature and the arts, and life itself. We will address when and how endings occur, how we experience endings, and what makes an ending a good or poor one, among other issues.",Spring 2025,"SI, Social Inquiry","PSYC Seminar, PSYC Upper Level, CL: 300 level",Student has completed any of the following course(s):PSYC 252– Personality orPSYC 256– Social Behavior and Interpersonal Processes orPSYC 258– Social Cognition with grade of C- or better.,Neil Lutsky,"T, TH",Olin 104,10:10am-11:55am,
PSYC 389,LGBTQ+ Psychology,6 credits,"In this seminar, we will examine the psychology of LGBTQ+ people, focusing on topics such as LGBTQ+ identity development; predictors and consequences of anti-LGBTQ+ bias and discrimination; the health and well-being of LGBTQ+ people; and familial and relationship dynamics of LGBTQ+ populations. We will consider psychology's history of—and potential for—both contributing to and dismantling the inequities faced by LGBTQ+ populations.",Spring 2025,"IDS, Intercultural Domestic Studies, SI, Social Inquiry","GWSS Elective, PSYC Seminar, PSYC Upper Level, CL: 300 level","Student has completed any of the following course(s): Psychology 110 – Principles of Psychology orGWSS 110– Introduction to Gender, Women's & Sexuality orGWSS 200– Gender, Sexuality and the Pursuit of Knowledge orGWSS 212– Foundations of LGBTQ Studies with a grade of C- or better or received a score of 4 or better on the Psychology AP exam or received a score of 6 or better on the Psychology IB exam.",Emma McGorray,"T, TH",Olin 106,1:15pm-3:00pm,
RELG 110,Understanding Religion,6 credits,"How can we best understand the role of religion in the world today, and how should we interpret the meaning of religious traditions–their texts and practices–in history and culture? This class takes an exciting tour through selected themes and puzzles related to the fascinating and diverse expressions of religion throughout the world. From politics and pop culture, to religious philosophies and spiritual practices, to rituals, scriptures, gender, religious authority, and more, students will explore how these issues emerge in a variety of religions, places, and historical moments in the U.S. and across the globe.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","CCST Encounters, CCST Seeing and Being Cross-Cult, RELG Pertinent Course, CL: 100 level",,Chumie Juni,"M, W",Leighton 304,12:30pm-1:40pm,
RELG 121,Introduction to Christianity,6 credits,"This course will trace the history of Christianity from its origins in the villages of Palestine, to its emergence as the official religion of the Roman Empire, and through its evolution and expansion as the world’s largest religion. The course will focus on events, persons, and ideas that have had the greatest impact on the history of Christianity, and examine how this tradition has evolved in different ways in response to different needs, cultures, and tensions–political and otherwise–around the world. This is an introductory course. No familiarity with the Bible, Christianity, or the academic study of religion is presupposed.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, QRE, Quantitative Reasoning, WR2 Writing Requirement 2","MARS Supporting, RELG Breadth, RELG Christian Traditions, RELG Pertinent Course, SDSC XDept Elective, CL: 100 level",,Lori Pearson,"M, W",Leighton 236,9:50am-11:00am,
RELG 155,Hinduism: An Introduction,6 credits,"Hinduism is the world’s third-largest religion (or, as some prefer, “way of life”), with about 1.2 billion followers. It is also one of its oldest, with roots dating back at least 3500 years. “Hinduism,” however, is a loosely defined, even contested term, designating the wide variety of beliefs and practices of the majority of the people of South Asia. This survey course introduces students to this great variety, including social structures (such as the caste system), rituals and scriptures, mythologies and epics, philosophies, life practices, politics, poetry, sex, gender, Bollywood, and—lest we forget—some 330 million gods and goddesses.",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies, QRE, Quantitative Reasoning, WR2 Writing Requirement 2","ASST Pertinent, ASST South Asia, CCST Encounters, MARS Supporting, RELG Breadth, RELG Hindu Traditions, RELG Pertinent Course, SAST Humanistic Inquiry, SAST Supp Humanities, SDSC XDept Elective, CL: 100 level",,Kristin Bloomer,"T, TH",CMC 210,1:15pm-3:00pm,
RELG 213,"Religion, Medicine, and Healing",6 credits,"How do religion and medicine approach the healing of disease and distress? Are religion and medicine complementary or do they conflict? Is medicine a more evolved form of religion, shorn of superstition and pseudoscience? This course explores religious and cultural models of health and techniques for achieving it, from ancient Greece to Christian monasteries to modern mindfulness and self-care programs. We will consider ethical quandaries about death, bodily suffering, mental illness, miraculous cures, and individual agency, all the while seeking to avoid simplistic narratives of rationality and irrationality.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","CCST Encounters, PPOL Ethics, RELG Christian Traditions, RELG Pertinent Course, CL: 200 level",,Sonja Anderson,"M, W",Laird 206,11:10am-12:20pm,
RELG 221,Judaism and Gender,6 credits,"How does gender shape the Jewish tradition, and how have Jewish historical moments, texts, and practices shaped Jewish notions of gender? Taking Judaism as a test case, this course will explore the relationship between historical circumstance, positionality, and the religious imaginary. We will examine the ways that Jewish gender and theology inform each other. We will see how gender was at play in Jewish negotiations of economic and social class, racial and ethnic status, even citizenship. Following the threads of practice and narrative, we will think about how intersectional gender has shaped the stories Jews tell, and the stories that are told about them.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","GWSS Elective, JDST Pertinent, MEST Supporting Group 1, RELG Jewish Traditions, RELG Pertinent Course, CL: 200 level",,Chumie Juni,"M, W",Leighton 426,9:50am-11:00am,
RELG 261,Race & Empire in American Islam,6 credits,"From colonial times when Muslims were brought to America as slaves, to the aftermath of the Spanish-American War when the United States found itself ruling over a large Muslim population in the Philippines, to the more recent War on Terror, Muslims and Islam have long been entangled in the politics of race and empire in America. This course will examine these entanglements through primary and secondary sources to better understand the role that race, religion, and empire have played in the forging of American Islam today.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","RELG Islamic Traditions, RELG Pertinent Course, AMST America in the World, AMST Race Ethnicty Indign, CL: 200 level",,Kambiz GhaneaBassiri,"T, TH",Library 344,3:10pm-4:55pm,
RELG 265,"Religion and Violence: Hindus, Muslims, Jews",6 credits,"Why do religious people do violence—in their words and deeds, against themselves and others? Is violence a distortion of real religion? Is it the inevitable result of certain beliefs? Or are these the wrong questions? This course considers several case studies of religious violence drawn from different traditions and time periods, including ancient paganism, early Christianity, Judaism, Islam, and so-called cults. Our approach will be historical, literary, and comparative. We will seek to understand how violence can be meaningful as a religious act, and how adherents of the same religious tradition can have widely diverse views on violence and nonviolence.",Spring 2025,"HI, Humanistic Inquiry, WR2 Writing Requirement 2, IDS, Intercultural Domestic Studies","GWSS Elective, MEST Supporting Group 1, CL: 200 level, JDST Pertinent, MARS Supporting, RELG Christian Traditions",,Sonja Anderson,"M, W",Leighton 330,1:50pm-3:00pm,
RELG 344,Lived Religion in America,6 credits,"The practices of popular, or local, or lived religion in American culture often blur the distinction between the sacred and profane and elude religious studies frameworks based on the narrative, theological, or institutional foundations of “official” religion. This course explores American religion primarily through the lens of the practices of lived religion with respect to ritual, the body, the life cycle, the market, leisure, and popular culture. Consideration of a wide range of topics, including ritual healing, Christmas, cremation, and Elvis, will nourish an ongoing discussion about how to make sense of lived religion.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","AMST Prdctn Consmptn Cult, RELG Christian Traditions, RELG Pertinent Course, RELG Traditions Americas, CL: 300 level",,Michael McNally,"T, TH",Leighton 303,10:10am-11:55am,
RUSS 103,Elementary Russian,6 credits,Concludes introductory method of Russian 101-102.,Spring 2025,No Exploration,CL: 100 level,Student has completed any of the following course(s):RUSS 102– Elementary Russian with a grade of C- or better or equivalent.,Laura Goering,"M, W",Language & Dining Center 242,9:50am-11:00am,
RUSS 110,Russophone Studies: Intensive Beginning,6 credits,"For students with no previous training in or minimal knowledge of Russian. Simultaneous development of skills in speaking, reading, aural comprehension, and writing. Class meets four days a week for two hours. This course is conducted by members of Kazakh National University’s Philological Faculty and supervised by the program director.",Spring 2025,LP Language Requirement,"RUSS Elective, CL: 100 level",Acceptance in the Carleton OCS Russophone Studies in Central Asia program.,Victoria Thorstensson,,,,
RUSS 207,Russophone Studies in Central Asia: Intermediate Intensive Grammar,3 credits,This course aims at vocabulary expansion and the assimilation and activation of everyday conversational structures and speech etiquette at the same time it develops familiarity with more complex principles of Russian grammar. This course is conducted by members of Kazakh National University's Philological Faculty and supervised by the program director.Open only to participants in Carleton OCS Program: Russophone Studies in Central Asia,Spring 2025,No Exploration,"RUSS Elective, CL: 200 level",Acceptance in the Russophone Studies in Central Asia program and student has completed any of the following course(s):RUSS 205– Russian in Cultural Context with a grade of C- or better.,Victoria Thorstensson,,,,
RUSS 209,Russophoe Studies in Central Asia: Intermediate Conversation,3 credits,This course is taken in combination with Russian 207. Emphasis will be placed on socially relevant topics. This course is conducted by members of Kazakh National University's Philological Faculty and supervised by the program director.Open only to participants in Carleton OCS Program: Russophone Studies in Central Asia,Spring 2025,No Exploration,"RUSS Elective, CL: 200 level",Acceptance in the Russophone Studies in Central Asia program and student has completed any of the following course(s):RUSS 205– Russian in Cultural Context with a grade of C- or better.,Victoria Thorstensson,,,,
RUSS 228,Russophone Studies in Central Asia: Contemporary Kazakhstani Culture and Post-Colonial Identity,6 credits,"In this course we will study how contemporary Kazakhstani post-colonial identity is expressed and negotiated in the works of Russophone prose and poetry, as well as in film, theater, contemporary art, and urban space. Other topics will include the changing role of the Russian language in Central Asia, linguistic, gender and cultural hybridity, trauma and (post)memory, cultural, ecological and gender activism. Taught in English.Requires Participation in OCS program in Kazakhstan",Spring 2025,"IS, International Studies, LA, Literary/Artistic Analysis","CCST Encounters, CL: 200 level",Acceptance in the Carleton OCS Russophone Studies in Central Asia program.,Victoria Thorstensson,,,,
RUSS 228F,Russophone Studies in Central Asia: Contemporary Kazakhstani Culture and Post-Colonial Identity in Russian,2 credits,"This course will offer readings and discussions of Russian-language materials and short speaking and writing assignments. Students taking RUSS 207, 209, 307, and 309 are required to enroll in this supplement to RUSS 228. Taught in Russian.Open only to student participating in Carleton OCS Program: Russophone Studies in Central Asia",Spring 2025,"LA, Literary/Artistic Analysis","RUSS Elective, CL: 200 level",Acceptance in the Russophone Studies in Central Asia program and student has completed any of the following course(s):RUSS 205– Russian in Cultural Context with a grade of C- or better.,Victoria Thorstensson,,,,
RUSS 266,The Brothers Karamazov,3 credits,"Fyodor Dostoevsky’s last novel,The Brothers Karamazov, is many things: a riveting murder mystery, a probing philosophical treatise, one of the best known novels in world literature, and a complex book worth reading and discussing with serious readers of diverse backgrounds. We will familiarize ourselves with the historical and philosophical context in which it was written, while grappling with the fundamental questions it raises: What does it mean to act morally? Why do humans so often act against their own best interest? How do we reconcile a world of chaos and suffering with the notion of a benevolent god? Conducted entirely in English.1st 5 weeks, in translation",Spring 2025,"CX, Cultural/Linguistics, IS, International Studies, LA, Literary/Artistic Analysis","ENGL Foreign Literature, EUST Country Specific, RUSS Elective, CL: 200 level",,Laura Goering,"M, W",Weitz Center 233,1:50pm-3:00pm,
RUSS 267,War and Peace,3 credits,"Against the backdrop of the Napoleonic Wars, Lev Tolstoy challenges readers to confront some of the most confounding questions of human existence: How can we reconcile the notion of free will with the seemingly ineluctable forces of history? Is individual moral action possible in war? How can we live a meaningful life in the face of inevitable death? And what might lie after death? In this course we readWar and Peacein its cultural and historical context, while also considering how it continues to be relevant to our lives today. Conducted in English. No knowledge of Russian literature or history required.2nd 5 weeks, in translation",Spring 2025,"CX, Cultural/Linguistics, IS, International Studies, LA, Literary/Artistic Analysis","ENGL Foreign Literature, EUST Country Specific, RUSS Elective, CL: 200 level",,Laura Goering,"M, W",Weitz Center 233,1:50pm-3:00pm,
RUSS 307,Russophone Studies in Central Asia: Advanced Intensive Grammar,3 credits,"This course combines advanced work in Russian grammar, especially morphology and syntax, and fundamentals in composition, with conversational Russian. Expected preparation: Six credits of Russian at the 300 level.Participation in Carleton OCS Russia in Kazakhstan program",Spring 2025,No Exploration,"RUSS Elective, CL: 300 level",Acceptance in the Carleton OCS Russophone Studies in Central Asia program.,Victoria Thorstensson,,,,
RUSS 309,Russophone Studies in Central Asia: Advanced Practicum,3 credits,This course aims at skill development in speaking and oral presentation as well as in limited forms of composition. It is taken in combination with Russian 307 and conducted by members of Kazakh National University Philological Faculty and supervised by the program director. Expected preparation: 6 credits of Russian at the 300 level.Open only to participants in Carleton OCS Russophone Studies in Central Asia program,Spring 2025,No Exploration,"RUSS Elective, CL: 300 level",Acceptance in the Carleton OCS Russophone Studies in Central Asia program.,Victoria Thorstensson,,,,
SOAN 110,Introduction to Anthropology,6 credits,"Anthropology is the study of all human beings in all their diversity, an exploration of what it means to be human throughout the globe. This course helps us to see ourselves, and others, from a new perspective. By examining specific analytic concepts—such as culture—and research methods—such as participant observation—we learn how anthropologists seek to understand, document, and explain the stunning variety of human cultures and ways of organizing society. This course encourages you to consider how looking behind cultural assumptions helps anthropologists solve real world dilemmas.Sophomore Priority.",Spring 2025,"CX, Cultural/Linguistics, IS, International Studies, SI, Social Inquiry, WR2 Writing Requirement 2","AMMU Music Foundations, ARCN Pertinent, CCST Seeing and Being Cross-Cult, CL: 100 level",,Pamela Feldman-Savelsberg,"T, TH",CMC 209,1:15pm-3:00pm,
SOAN 111,Introduction to Sociology,6 credits,"Sociology is an intellectual discipline, spanning the gap between the sciences and humanities while often (though not always) involving itself in public policy debates, social reform, and political activism. Sociologists study a startling variety of topics using qualitative and quantitative methods. Still, amidst all this diversity, sociology is centered on a set of core historical theorists (Marx/Weber/Durkheim) and research topics (race/class/gender inequality). We will explore these theoretical and empirical foundations by reading and discussing influential texts and select topics in the study of social inequality while relating them to our own experiences and understanding of the social world.Sophomore Priority.",Spring 2025,"SI, Social Inquiry","AMMU Music Foundations, CCST Seeing and Being Cross-Cult, CL: 100 level",,Liz Raleigh,"M, W",Leighton 236,8:30am-9:40am,
SOAN 214,Neighborhoods and Cities: Inequalities and Identities,6 credits,"Inequalities and identities are well understood yet too often disconnected from the context of space and place. In this class, we discuss the ways that neighborhoods and cities are sites of inequality as well as identity. Neighborhoods are linked to the amount of wealth we hold; the schools we attend; the goods, services, and resources we have access to; and who our neighbors are. Neighborhoods are also spaces where identities and community are created, claimed, and contested. They can also be sites of conflict as they change through gentrification or other processes that often reflect inequalities of power, resources, and status. In this course, special attention will be paid to how race, gender and sexuality, and immigration shape inequalities and identity in neighborhoods and cities. This course will also include an academic civic engagement component, collaborating with local communities in Minnesota.The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",Spring 2025,"IDS, Intercultural Domestic Studies, QRE, Quantitative Reasoning, SI, Social Inquiry, WR2 Writing Requirement 2","ACE Applied, AFST Social Inquiry, CL: 200 level, AMST Space and Place",,Daniel Williams,"T, TH",Leighton 426,3:10pm-4:55pm,
SOAN 228,Public Sociology of Religion,6 credits,"This course focuses on special topics in the public sociology of religion. We will look at the intersection of race, religion, and politics in the U.S.; the intersection of science and religion in Indigenous-led environmental movements; and varieties of public religion around the world—including Islamic feminism and democracy in Egypt and Indonesia, Coptic Christianity and the Muslim Brotherhood, orthodox Jewish movements in Israel, American evangelicals in the U.S., and Black church mobilization in the U.S. civil rights movement. As we do so, we will examine core theoretical perspectives and empirical developments in the contemporary sociology of religion.The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",Spring 2025,"IS, International Studies, SI, Social Inquiry","RELG Pertinent Course, RELG XDept Pertinent, CL: 200 level",,Wes Markofski,"M, W",Leighton 236,11:10am-12:20pm,
SOAN 240,Methods of Social Research,6 credits,"When sociologists and anthropologists conduct their research, how do they know which method to choose? What assumptions guide their decision? What challenges might they encounter? And, even more importantly, what are their ethical obligations? In this course we will answer these questions through examining some popular sociological and anthropological research methods (e.g., interviews, surveys, and participant observation). Specific topics include: developing feasible research questions, selecting an appropriate research method, collecting and analyzing qualitative and quantitative data, and writing up research findings. By the end of the course, students will be better equipped to design and conduct a research study.",Spring 2025,"QRE, Quantitative Reasoning, SI, Social Inquiry, WR2 Writing Requirement 2","RUSS Methods, SDSC XDept Elective, CL: 200 level","Student has completed any of the following course(s):SOAN 110– Introduction to Anthropology orSOAN 111– Introduction to Sociology with a grade of C- or better ANDSTAT 120– Introduction to Statistics orSTAT 250– Introduction to Statistical Inference with a grade of C- or better, or received a score of 4 or better on the Statistics AP exam.",Annette Nierobisz,"M, W",Weitz Center 233,11:10am-12:20pm,
SOAN 262,Anthropology of Health and Illness,6 credits,"An ethnographic approach to beliefs and practices regarding health and illness in numerous societies worldwide. This course examines patients, practitioners, and the social networks and contexts through which therapies are managed to better understand medical systems as well as the significance of the anthropological study of misfortune. Specific topics include the symbolism of models of illness, the ritual management of misfortune and of life crisis events, the political economy of health, therapy management, medical pluralism, and cross-cultural medical ethics.The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",Spring 2025,"CX, Cultural/Linguistics, IS, International Studies, SI, Social Inquiry, WR2 Writing Requirement 2","ACE Applied, PPOL Public Health, CL: 200 level",,Pamela Feldman-Savelsberg,"T, TH",Leighton 305,10:10am-11:55am,
SOAN 312,How Rude: (Im)politeness and (Dis)respect in Language,6 credits,"Expressions of politeness and impoliteness differ between societies. From smiling at strangers to addressing a woman as “ma’am,” what is polite in one setting can be strange or antagonistic in another. This course focuses on cross-linguistic expressions of (im)politeness and (dis)respect, but also touches upon non-verbal behavior and communication. Older cross-cultural literature has focused on the positive valuations of politeness, deference, and respect in language. By balancing past scholarship with recent works on linguistic impoliteness and disrespect, we’ll explore language’s role in social relations, from creating harmony to sowing conflict. Expected preparation: prior Sociology/Anthropology course or instructor permission is recommended.The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",Spring 2025,"IS, International Studies, SI, Social Inquiry","SOAN Pertinent, CL: 300 level, LING Pertinent",,Cheryl Yin,"T, TH",Weitz Center 233,1:15pm-3:00pm,
SOAN 313,Woke Nature: Towards an Anthropology of Non-Human Beings,6 credits,"The core of anthropological thought has been organized around the assumption that the production of complex cultural systems is reserved to the domain of the human experience. While scholars have contested this assumption for years, there is an emerging body of scholarship that proposes expanding our understandings of culture, and the ability to produce meaning in the world, to include non-human beings (e.g. plants, wildlife, micro-organisms, mountains). This course explores ethnographic works in this field and contextualizes insights within contemporary conversations pertaining to our relationship with nature, public health, and social justice movements that emerge within decolonized frameworks.The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",Spring 2025,"IS, International Studies, SI, Social Inquiry, WR2 Writing Requirement 2","ACE Theoretical, ENTS Topical Seminar, GWSS Elective, LTAM Electives, CL: 300 level",,Constanza Ocampo-Raeder,"T, TH",Weitz Center 233,10:10am-11:55am,
